Crab,Group,J1,J1_L,J2,J2_L,J3,J3_L,J4,J4_L,J5,J5_L,J6,J6_L,J7,J7_L
CH09_9,HC,4.69,4.87,5.83,5.21,6.30,5.77,7.60,6.62,----,,,,,
CH09_17,HC,4.62,4.76,5.66,5.35,----,----,----,----,----,----,----,----,----,----
CH09_20,HC,4.92,5.12,6.26,5.81,8.22,7.13,9.13,7.94,11.41,9.74,13.51,11.45,16.26,13.68
CH09_21,HC,5.02,5.31,----,----,----,----,----,----,----,----,----,----,----,----
CH09_29,HC,4.97,4.45,6.80,6.34,8.65,7.70,9.32,8.06,14.03,11.68,14.03,12.04,16.76,13.47
CH09_31,HC,5.20,5.34,7.38,6.72,8.33,7.26,10.06,8.58,12.27,10.33,15.00,--,,
CH09_34,HC,4.92,5.24,5.84,5.66,----,----,----,----,----,----,----,----,----,----
CH09_35,HC,----,,5.94,5.80,7.85,7.06,8.91,7.63,12.96,10.91,,,,
CH09_40,HC,4.94,5.06,7.00,6.58,8.45,--,10.21,8.94,12.91,10.74,15.57,12.97,,
CH09_42,HC,----,,6.47,5.94,8.02,6.93,9.85,8.79,11.71,10.27,14.68,11.91,16.88,13.92
CH10_12,HC,5.34,5.45,----,----,----,----,----,----,----,----,----,----,----,----
CH10_15,HC,5.44,5.60,7.33,6.80,----,----,----,----,----,----,----,----,----,----
CH10_18,HC,4.87,4.98,6.87,6.52,8.68,7.80,9.62,8.48,,,,,,
CH10_21,HC,5.19,5.54,7.15,6.80,9.30,8.01,10.43,8.77,12.64,10.65,15.42,12.87,,
CH10_26,HC,5.04,5.25,6.11,5.70,6.88,6.24,,,,,,,,
CH10_28,HC,4.83,5.19,6.73,6.26,9.06,7.95,10.18,8.48,12.75,10.74,14.72,12.10,,
CH10_34,HC,4.92,5.27,6.36,6.08,8.28,7.05,9.11,8.06,11.62,9.93,14.16,11.93,17.61,14.21
CH10_35,HC,----,,6.47,5.91,8.48,7.61,----,----,----,----,----,----,,
CH10_37,HC,4.88,4.73,6.29,5.97,8.01,7.14,9.43,8.16,11.43,9.80,,,,
CH10_40,HC,----,,6.61,6.32,8.00,7.30,9.32,8.46,11.92,10.08,14.08,11.46,,
